Species	AverageGrantham	KnKs	DnDs	GenerationLength_d	family.x	FractionOfNonsyn	FractionOfSyn	Gene	MedianOfAllNonsyn	MedianOfAllSyn	Order	SummOfAllGrantham	specieOrder	family.y	category	CategoryPoisson	CategoryBinomial
Bison bison	51	1	0.191901716903949	4288.14166657	Bovidae	0.5	0.5	CytB	1	1	Cetartiodactyla	65.5	CETARTIODACTYLA	BOVIDAE	LC	0	0
Bison bonasus	73.3333333333333	0.0967741935483871	0.0958919620050603	3595.3298	Bovidae	0.0882352941176471	0.911764705882353	CytB	2	17	Cetartiodactyla	162	CETARTIODACTYLA	BOVIDAE	VU	1	0
Blarina brevicauda	39.5	0.142857142857143	0.0139240804342055	307.41875	Soricidae	0.125	0.875	CytB	2	16	Eulipotyphla	84	EULIPOTYPHLA	SORICIDAE	LC	0	0
Blarinella griselda	21.75	0.0172413793103448	0.00824824027707039	426.91011944525	Soricidae	0.0169491525423729	0.983050847457627	CytB	1	54	Eulipotyphla	21	EULIPOTYPHLA	SORICIDAE	LC	0	0
Brachyphylla cavernarum	42.5	1	0.0365746592473589	2064.27635	Phyllostomidae	0.5	0.5	CytB	1	1	Chiroptera	64	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Cacajao calvus	68	0.179487179487179	0.141790017741935	3650	Pitheciidae	0.161290322580645	0.838709677419355	CytB	1	24	Primates	74	PRIMATES	PITHECIIDAE	VU	1	0
Callosciurus erythraeus	46.7424242424242	0.126984126984127	0.0381040554521348	1585.1964	Sciuridae	0.112676056338028	0.887323943661972	CytB	9	82	Rodentia	400	RODENTIA	SCIURIDAE	LC	0	0
Calomys callosus	41.3666666666666	0.240384615384615	0.0377952124684139	589.388299099621	Cricetidae	0.19375	0.80625	CytB	2	4	Rodentia	112	RODENTIA	CRICETIDAE	LC	0	0
Calomys expulsus	21	0.125	0.0350336308017695	589.388299099621	Cricetidae	0.111111111111111	0.888888888888889	CytB	1	14	Rodentia	22	RODENTIA	CRICETIDAE	LC	0	0
Canis aureus	33.3333333333333	0.133333333333333	0.0584376748238275	2136.101433343	Canidae	0.117647058823529	0.882352941176471	CytB	2	16	Carnivora	64	CARNIVORA	CANIDAE	LC	0	0
Capra aegagrus	58	0.0983870967741935	0.06967151122803	2097.005	Bovidae	0.0909090909090909	0.909090909090909	CytB	2	30	Cetartiodactyla	137	CETARTIODACTYLA	BOVIDAE	VU	1	0
Capra sibirica	50	0.00649350649350649	0.111963735242333	2875.226666657	Bovidae	0.00641025641025641	0.993589743589744	CytB	0.5	49.5	Cetartiodactyla	29	CETARTIODACTYLA	BOVIDAE	LC	0	0
Capreolus capreolus	33.6666666666667	0.0714285714285714	0.0249070808242437	2335.391666657	Cervidae	0.0666666666666667	0.933333333333333	CytB	1	12	Cetartiodactyla	79	CETARTIODACTYLA	CERVIDAE	LC	0	0
Capreolus pygargus	81	0.105555555555556	0.0182339629820195	3063.8029	Cervidae	0.1	0.9	CytB	1	9	Cetartiodactyla	81	CETARTIODACTYLA	CERVIDAE	LC	0	0
Carollia brevicauda	55.8333333333333	0.181818181818182	0.030091094696615	NA	NA	0.153846153846154	0.846153846153846	CytB	3	18	NA	153	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Carollia castanea	44.2916666666667	0.0833333333333333	0.0299906452785737	1847.5352	Phyllostomidae	0.0769230769230769	0.923076923076923	CytB	4	69	Chiroptera	168	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Carollia perspicillata	33.3333333333333	0.2	0.0325897989478031	1847.5352	Phyllostomidae	0.166666666666667	0.833333333333333	CytB	3	18	Chiroptera	100	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Carollia sowelli	42.3333333333333	0.233333333333333	0.0390383860034458	1847.5352	Phyllostomidae	0.2	0.8	CytB	5	23	Chiroptera	173	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Catopuma temminckii	58	0.2	0.0410741600830868	NA	NA	0.166666666666667	0.833333333333333	CytB	1	5	NA	58	CARNIVORA	FELIDAE	LC	0	0
Cavia aperea	45.6666666666667	0.142857142857143	0.0673964686527951	763.4281	Caviidae	0.125	0.875	CytB	4	29	Rodentia	151	RODENTIA	CAVIIDAE	LC	0	0
Cervus elaphus	35.7083333333333	0.2	0.0197835244801055	5209.4516	Cervidae	0.166666666666667	0.833333333333333	CytB	3	16	Cetartiodactyla	111	CETARTIODACTYLA	CERVIDAE	LC	0	0
Chimarrogale himalayica	33.5555555555556	0.075	0.0208547457614756	379.29295625	Soricidae	0.0697674418604651	0.930232558139535	CytB	7	118	Eulipotyphla	260	EULIPOTYPHLA	SORICIDAE	LC	0	0
Chionomys roberti	33.5	0.166666666666667	0.031245560186695	589.388299099621	Cricetidae	0.142857142857143	0.857142857142857	CytB	2	10	Rodentia	64	RODENTIA	CRICETIDAE	LC	0	0
Chlorocebus aethiops	42.2857142857143	0.230769230769231	0.139052670259766	4533.4825	Cercopithecidae	0.194444444444444	0.805555555555556	CytB	6	20	Primates	242	PRIMATES	CERCOPITHECIDAE	LC	0	0
Chlorocebus pygerythrus	58.2803921568627	0.34375	0.133245275870077	4533.4825	Cercopithecidae	0.255813953488372	0.744186046511628	CytB	13	36	Primates	711	PRIMATES	CERCOPITHECIDAE	LC	0	0
Chlorocebus sabaeus	40.4	0.2	0.112933089831103	4533.4825	Cercopithecidae	0.166666666666667	0.833333333333333	CytB	2	11	Primates	56	PRIMATES	CERCOPITHECIDAE	LC	0	0
Chlorocebus tantalus	59.3333333333333	0.256578947368421	0.164295995591815	4533.4825	Cercopithecidae	0.204166666666667	0.795833333333333	CytB	5	20.5	Primates	236	PRIMATES	CERCOPITHECIDAE	LC	0	0
Colobus angolensis	46	0.333333333333333	0.092053756343433	3864.89375	Cercopithecidae	0.25	0.75	CytB	3	9	Primates	104	PRIMATES	CERCOPITHECIDAE	LC	0	0
Cricetus cricetus	46.9166666666667	0.0714285714285714	0.0514346612738544	467.0175	Cricetidae	0.0666666666666667	0.933333333333333	CytB	1	9	Rodentia	42	RODENTIA	CRICETIDAE	LC	0	0
Crocidura beatus	36.5	0.0526315789473684	0	427.67965	Soricidae	0.05	0.95	CytB	2	32	Eulipotyphla	42	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura dsinezumi	58	0.0810810810810811	0.0294705678645773	427.67965	Soricidae	0.075	0.925	CytB	2	11	Eulipotyphla	124	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura grayi	35.3333333333333	0.0869565217391304	0.029683079751544	427.67965	Soricidae	0.08	0.92	CytB	2	27	Eulipotyphla	100	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura monticola	52.8717948717949	0.206896551724138	0.0464479724145016	409.171225	Soricidae	0.171428571428571	0.828571428571429	CytB	5	32	Eulipotyphla	349	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura olivieri	21	0.0434782608695652	0.0185212505446045	427.67965	Soricidae	0.0416666666666667	0.958333333333333	CytB	1	23	Eulipotyphla	21	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura palawanensis	69.5	0.0488095238095238	0.0198272857588628	409.171225	Soricidae	0.0476190476190476	0.952380952380952	CytB	1	3	Eulipotyphla	81	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura paradoxura	21	0.0196078431372549	0.028553545828629	409.171225	Soricidae	0.0192307692307692	0.980769230769231	CytB	1	51	Eulipotyphla	21	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura shantungensis	56.125	0.157894736842105	0.0285013749204904	409.171225	Soricidae	0.136363636363636	0.863636363636364	CytB	2	13	Eulipotyphla	116	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura sibirica	23	0	0.0333404967899093	427.67965	Soricidae	0	1	CytB	0	8	Eulipotyphla	0	EULIPOTYPHLA	SORICIDAE	LC	0	0
Crocidura tanakae	64	0.25	0.0276214259164551	427.67965	Soricidae	0.2	0.8	CytB	2	7	Eulipotyphla	145	EULIPOTYPHLA	SORICIDAE	LC	0	0
Ctenomys pearsoni	62.9523809523809	0.363636363636364	0.0390781324623192	600.93415	Ctenomyidae	0.266666666666667	0.733333333333333	CytB	3	12	Rodentia	160	RODENTIA	CTENOMYIDAE	LC	0	0
Ctenomys rionegrensis	66.3333333333333	0.2	0.0620114214762945	600.93415	Ctenomyidae	0.166666666666667	0.833333333333333	CytB	1	4	Rodentia	125	RODENTIA	CTENOMYIDAE	EN	2	1
Ctenomys torquatus	57.3333333333333	1	0.0671174657708696	600.93415	Ctenomyidae	0.5	0.5	CytB	3	3	Rodentia	147	RODENTIA	CTENOMYIDAE	LC	0	0
Cynomys ludovicianus	58.5	0.333333333333333	0.260872888001411	1567.7682	Sciuridae	0.25	0.75	CytB	2	6	Rodentia	103	RODENTIA	SCIURIDAE	LC	0	0
Cynomys mexicanus	58	0.5	0.0344626182223803	1567.7682	Sciuridae	0.333333333333333	0.666666666666667	CytB	1	2	Rodentia	50.5	RODENTIA	SCIURIDAE	EN	2	1
Cynopterus brachyotis	23	0.215384615384615	0.0428191431994928	1287.664	Pteropodidae	0.1875	0.8125	CytB	1	6	Chiroptera	36	CHIROPTERA	PTEROPODIDAE	LC	0	0
Cynopterus sphinx	29.6666666666667	0.12	0.0263487707999301	1285.2527	Pteropodidae	0.107142857142857	0.892857142857143	CytB	3	23	Chiroptera	89	CHIROPTERA	PTEROPODIDAE	LC	0	0
Dasypus novemcinctus	40	0.2	0.036539151233928	1825	Dasypodidae	0.166666666666667	0.833333333333333	CytB	1	5	Cingulata	56	CINGULATA	DASYPODIDAE	LC	0	0
Deltamys kempi	21	0.235294117647059	0.0687291871233667	589.388299099621	Cricetidae	0.19047619047619	0.80952380952381	CytB	3	15	Rodentia	57	RODENTIA	CRICETIDAE	LC	0	0
Desmodus rotundus	50.6538461538462	0.52	0.118548580321383	2779.7975	Phyllostomidae	0.342105263157895	0.657894736842105	CytB	17	48	Chiroptera	807	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
Eidolon dupreanum	58	0.181818181818182	0.0339316494438123	2190	Pteropodidae	0.153846153846154	0.846153846153846	CytB	1	8	Chiroptera	58	CHIROPTERA	PTEROPODIDAE	VU	1	0
Eidolon helvum	58	0	0.0329260149430154	1825	Pteropodidae	0	1	CytB	0	6	Chiroptera	0	CHIROPTERA	PTEROPODIDAE	LC	0	0
Elephas maximus	22	0.0909090909090909	0.0404724004641393	8030	Elephantidae	0.0833333333333333	0.916666666666667	CytB	1	10.5	Proboscidea	22.5	PROBOSCIDEA	ELEPHANTIDAE	EN	2	1
Eothenomys chinensis	37.5	0.0652173913043478	0.0296510877908799	589.388299099621	Cricetidae	0.0612244897959184	0.938775510204082	CytB	6	89	Rodentia	219	RODENTIA	CRICETIDAE	LC	0	0
Eothenomys custos	32.7142857142857	0.0551181102362205	0.0304699432861416	589.388299099621	Cricetidae	0.0522388059701493	0.947761194029851	CytB	1	126	Rodentia	58	RODENTIA	CRICETIDAE	LC	0	0
Eothenomys melanogaster	57.5	0.0833333333333333	0.0306575192295166	589.388299099621	Cricetidae	0.0769230769230769	0.923076923076923	CytB	2.5	36	Rodentia	107.5	RODENTIA	CRICETIDAE	LC	0	0
Eothenomys miletus	41	0.0904995904995905	0.0266671739626303	589.388299099621	Cricetidae	0.0829889807162534	0.917011019283747	CytB	3	31.5	Rodentia	63	RODENTIA	CRICETIDAE	LC	0	0
