Species	AverageGrantham	KnKs	DnDs	GenerationLength_d	family.x	FractionOfNonsyn	FractionOfSyn	Gene	MedianOfAllNonsyn	MedianOfAllSyn	Order	SummOfAllGrantham	specieOrder	family.y	category	CategoryPoisson	CategoryBinomial
Eozapus setchuanus	34.25	0.0816326530612245	0.0238620868331927	726.1971375	Dipodidae	0.0754716981132075	0.924528301886792	CytB	5	98	Rodentia	143	RODENTIA	DIPODIDAE	LC	0	0
Epomophorus gambianus	21	0	0.0456604551499198	2349.856740625	Pteropodidae	0	1	CytB	0	8	Chiroptera	0	CHIROPTERA	PTEROPODIDAE	LC	0	0
Epomops buettikoferi	58	0.25	0.0349945608489867	2349.856740625	Pteropodidae	0.2	0.8	CytB	1	4	Chiroptera	58	CHIROPTERA	PTEROPODIDAE	LC	0	0
Epomops franqueti	81	0.125	0.0493866491988606	2349.856740625	Pteropodidae	0.111111111111111	0.888888888888889	CytB	1	8	Chiroptera	128	CHIROPTERA	PTEROPODIDAE	LC	0	0
Eschrichtius robustus	48.25	0.5	0.0478836337018717	10444.3345	Eschrichtiidae	0.333333333333333	0.666666666666667	CytB	1	2	Cetartiodactyla	46	CETARTIODACTYLA	ESCHRICHTIIDAE	LC	0	0
Euchoreutes naso	51	0	0.152003732198513	726.1971375	Dipodidae	0	1	CytB	0	9	Rodentia	0	RODENTIA	DIPODIDAE	LC	0	0
Eulemur rubriventer	56.5	0.222527472527473	0.0370273914467545	2920	Lemuridae	0.1875	0.8125	CytB	2	12	Primates	110	PRIMATES	LEMURIDAE	VU	1	0
Eulemur rufus	40.25	0.21395881006865	0.0323584992675537	3206.29594444444	Lemuridae	0.178571428571429	0.821428571428571	CytB	3	11	Primates	114	PRIMATES	LEMURIDAE	VU	1	0
Eumetopias jubatus	61	1	0.0721533467023344	3650	Otariidae	0.5	0.5	CytB	2	1	Carnivora	129	CARNIVORA	OTARIIDAE	LC	0	0
Galemys pyrenaicus	39.4166666666667	0.222222222222222	0.0320764625772838	730	Talpidae	0.181818181818182	0.818181818181818	CytB	2	7	Eulipotyphla	45	EULIPOTYPHLA	TALPIDAE	VU	1	0
Gazella dorcas	59.6666666666667	0.166666666666667	0.0447257525108324	2190	Bovidae	0.142857142857143	0.857142857142857	CytB	2	10	Cetartiodactyla	85	CETARTIODACTYLA	BOVIDAE	VU	1	0
Gazella subgutturosa	68.3333333333333	0.5	0.108903079193961	2496.146666657	Bovidae	0.333333333333333	0.666666666666667	CytB	2	3	Cetartiodactyla	136	CETARTIODACTYLA	BOVIDAE	VU	1	0
Genetta genetta	50.5	0.048783712321523	0.0386880683283464	4194.899833343	Viverridae	0.0465144230769231	0.953485576923077	CytB	2	39	Carnivora	80.5	CARNIVORA	VIVERRIDAE	LC	0	0
Genetta maculata	38.6666666666667	0.129166666666667	0.0742157065560982	2764.52	Viverridae	0.117647058823529	0.882352941176471	CytB	1	8	Carnivora	21	CARNIVORA	VIVERRIDAE	LC	0	0
Gerbilliscus leucogaster	47.1111111111111	0.168079096045198	0.0911386952353729	682.2908	Muridae	0.144927536231884	0.855072463768116	CytB	7	42	Rodentia	337	RODENTIA	MURIDAE	LC	0	0
Gerbillus gerbillus	69.75	0	0.0296643442174105	951.2818	Muridae	0	1	CytB	0	13	Rodentia	0	RODENTIA	MURIDAE	LC	0	0
Gerbillus henleyi	39.4	0.189189189189189	0.0578281818628008	951.2818	Muridae	0.159090909090909	0.840909090909091	CytB	4	48	Rodentia	143	RODENTIA	MURIDAE	LC	0	0
Gerbillus nanus	45.5	0.0833333333333333	0.0507017289160435	951.2818	Muridae	0.0769230769230769	0.923076923076923	CytB	4	57	Rodentia	203	RODENTIA	MURIDAE	LC	0	0
Gerbillus pyramidum	58	0.1	0.280972826129499	951.2818	Muridae	0.0909090909090909	0.909090909090909	CytB	1	3	Rodentia	58	RODENTIA	MURIDAE	LC	0	0
Gerbillus tarabuli	21	0.0909090909090909	0	951.2818	Muridae	0.0833333333333333	0.916666666666667	CytB	1	11	Rodentia	21	RODENTIA	MURIDAE	LC	0	0
Giraffa camelopardalis	56.1	0.163978494623656	0.130907657745244	5251.01166657	Giraffidae	0.140873015873016	0.859126984126984	CytB	4	30	Cetartiodactyla	195	CETARTIODACTYLA	GIRAFFIDAE	VU	1	0
Glaucomys sabrinus	39.75	0.0547945205479452	0.0209267127188911	1729.4573	Sciuridae	0.0987654320987654	0.901234567901235	CytB	1	3	Rodentia	21	RODENTIA	SCIURIDAE	LC	0	0
Glirulus japonicus	40.8	0.0384615384615385	0.0293787970771956	883.5172	Gliridae	0.037037037037037	0.962962962962963	CytB	3	72	Rodentia	107	RODENTIA	GLIRIDAE	LC	0	0
Gracilinanus agilis	56.9	0.181818181818182	0.0256406599839726	642.840025	Didelphidae	0.153846153846154	0.846153846153846	CytB	6	35	Didelphimorphia	376	DIDELPHIMORPHIA	DIDELPHIDAE	LC	0	0
Graomys griseoflavus	21.5	0.142857142857143	0.0347841029766597	589.388299099621	Cricetidae	0.125	0.875	CytB	2	12	Rodentia	42	RODENTIA	CRICETIDAE	LC	0	0
Gulo gulo	22	0.464285714285714	0.0436912402125493	2622.30185	Mustelidae	0.333333333333333	0.666666666666667	CytB	1	1	Carnivora	43	CARNIVORA	MUSTELIDAE	LC	0	0
Handleyomys alfaroi	39.5	0.0741758241758242	0.0404949986912803	589.388299099621	Cricetidae	0.0714285714285714	0.928571428571429	CytB	2	30	Rodentia	100	RODENTIA	CRICETIDAE	LC	0	0
Handleyomys chapmani	21	0.1	0.0446723581362226	589.388299099621	Cricetidae	0.0909090909090909	0.909090909090909	CytB	1	10	Rodentia	21	RODENTIA	CRICETIDAE	VU	1	0
Handleyomys rostratus	21.6666666666667	0.0428571428571429	0.0212660110547889	589.388299099621	Cricetidae	0.0410958904109589	0.958904109589041	CytB	2	28	Rodentia	44	RODENTIA	CRICETIDAE	LC	0	0
Hemiechinus auritus	35.25	0.0303308823529412	0.06163842199392	940.3939	Erinaceidae	0.0294372294372294	0.970562770562771	CytB	1	31.5	Eulipotyphla	21	EULIPOTYPHLA	ERINACEIDAE	LC	0	0
Herpestes javanicus	51.5714285714286	0.187990580847724	0.0326802762150206	1472.701	Herpestidae	0.158231368186874	0.841768631813126	CytB	10	47	Carnivora	542	CARNIVORA	HERPESTIDAE	LC	0	0
Hipposideros armiger	43.125	0.272727272727273	0.0234295419123801	1834.2256	Hipposideridae	0.214285714285714	0.785714285714286	CytB	3	10	Chiroptera	101	CHIROPTERA	HIPPOSIDERIDAE	LC	0	0
Hipposideros caffer	32.25	0.0425531914893617	0.032284959124051	1834.2256	Hipposideridae	0.0408163265306122	0.959183673469388	CytB	4	94	Chiroptera	129	CHIROPTERA	HIPPOSIDERIDAE	LC	0	0
Hipposideros pratti	39.5	0	0.0183699054075815	1834.2256	Hipposideridae	0	1	CytB	0	22	Chiroptera	0	CHIROPTERA	HIPPOSIDERIDAE	LC	0	0
Hipposideros ruber	25	0.0606060606060606	0.0233113834214679	1834.2256	Hipposideridae	0.0571428571428571	0.942857142857143	CytB	4	61	Chiroptera	92	CHIROPTERA	HIPPOSIDERIDAE	LC	0	0
Holochilus chacarius	21	0.1	0.0364692824730215	766.22453	Cricetidae	0.0909090909090909	0.909090909090909	CytB	1	6	Rodentia	15	RODENTIA	CRICETIDAE	LC	0	0
Hydropotes inermis	22	0.0833333333333333	0.017612802437774	2190	Cervidae	0.0769230769230769	0.923076923076923	CytB	1	11	Cetartiodactyla	22	CETARTIODACTYLA	CERVIDAE	VU	1	0
Hylaeamys megacephalus	73.5	0.0416666666666667	0.0377709005222719	470.3622	Cricetidae	0.04	0.96	CytB	1	10	Rodentia	64	RODENTIA	CRICETIDAE	LC	0	0
Hylobates agilis	57.375	0.298148148148148	0.0875802596572227	5475	Hylobatidae	0.230769230769231	0.769230769230769	CytB	2	15	Primates	253	PRIMATES	HYLOBATIDAE	EN	2	1
Hylobates lar	64	0.166666666666667	0.109224660720453	5475	Hylobatidae	0.142857142857143	0.857142857142857	CytB	2	13	Primates	122	PRIMATES	HYLOBATIDAE	EN	2	1
Hypsignathus monstrosus	58	0.111111111111111	0.0422687920013003	2349.856740625	Pteropodidae	0.1	0.9	CytB	1	7	Chiroptera	58	CHIROPTERA	PTEROPODIDAE	LC	0	0
Ictidomys tridecemlineatus	81	0	0.0136978244883284	NA	NA	0	1	CytB	0	19	NA	0	RODENTIA	SCIURIDAE	LC	0	0
Indri indri	38.3333333333333	0.153846153846154	0.0536204400257289	4015	Indriidae	0.133333333333333	0.866666666666667	CytB	1	12	Primates	32	PRIMATES	INDRIIDAE	CR	3	1
Inia geoffrensis	44	0.25	0.0684518856950113	4840.09	Iniidae	0.25	0.75	CytB	2	4	Cetartiodactyla	85	CETARTIODACTYLA	INIIDAE	EN	2	1
Jaculus jaculus	41.3333333333333	0	0.0398832371836864	919.8561	Dipodidae	0	1	CytB	0	26.5	Rodentia	0	RODENTIA	DIPODIDAE	LC	0	0
Lama guanicoe	49.5	0.25	0.0388544046525843	4064.145	Camelidae	0.2	0.8	CytB	2	8	Cetartiodactyla	122	CETARTIODACTYLA	CAMELIDAE	LC	0	0
Laonastes aenigmamus	53.5833333333333	0.25	0.0554652504539075	1032.92357373767	Diatomyidae	0.2	0.8	CytB	11	45	Rodentia	593	RODENTIA	DIATOMYIDAE	LC	0	0
Lemur catta	45.6666666666667	0.5	0.0392298069360032	2920	Lemuridae	0.333333333333333	0.666666666666667	CytB	1	2	Primates	58	PRIMATES	LEMURIDAE	EN	2	1
Leopoldamys edwardsi	38.3511904761905	0.116963064295486	0.0443487709898494	639.631831820818	Muridae	0.105263157894737	0.894736842105263	CytB	8	79	Rodentia	268	RODENTIA	MURIDAE	LC	0	0
Lepilemur ruficaudatus	39.35	0.375	0.154846198057204	1637.7709666715	Lepilemuridae	0.272727272727273	0.727272727272727	CytB	5	8.5	Primates	164	PRIMATES	LEPILEMURIDAE	VU	1	0
Leptonychotes weddellii	58	0.2	0.0363819872886339	4015	Phocidae	0.166666666666667	0.833333333333333	CytB	1	5	Carnivora	58	CARNIVORA	PHOCIDAE	LC	0	0
Lepus brachyurus	64	0.1	0.0446688473794256	1047.27668	Leporidae	0.0909090909090909	0.909090909090909	CytB	1	7	Lagomorpha	21	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus capensis	39	0.0793766876687669	0.0152597464022675	1047.27668	Leporidae	0.0736842105263158	0.926315789473684	CytB	5	80	Lagomorpha	207	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus europaeus	23	0.0909090909090909	0.0162833984281461	730	Leporidae	0.0833333333333333	0.916666666666667	CytB	1	21	Lagomorpha	23	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus mandshuricus	34.3666666666666	0.111128048780488	0.0297719170417386	1047.27668	Leporidae	0.101123595505618	0.898876404494382	CytB	7	80	Lagomorpha	179	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus oiostolus	47.3333333333333	0.0889328063241107	0.0372951568010906	1047.27668	Leporidae	0.0833333333333333	0.916666666666667	CytB	2	26	Lagomorpha	96	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus sinensis	60.0416666666667	0.238095238095238	0.0325582835350714	1047.27668	Leporidae	0.196428571428571	0.803571428571429	CytB	3	15	Lagomorpha	137	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus timidus	42.5	0.166666666666667	0.0327162862973963	1047.27668	Leporidae	0.142857142857143	0.857142857142857	CytB	3	12	Lagomorpha	131	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus tolai	32	0.0714285714285714	0.0797837387950974	1047.27668	Leporidae	0.0666666666666667	0.933333333333333	CytB	1	7	Lagomorpha	22	LAGOMORPHA	LEPORIDAE	LC	0	0
Lepus yarkandensis	40	0.129032258064516	0.0279018359404876	1047.27668	Leporidae	0.114285714285714	0.885714285714286	CytB	2	17	Lagomorpha	83	LAGOMORPHA	LEPORIDAE	LC	0	0
Lophostoma silvicolum	62.6666666666667	0.10077519379845	0.0375368135533966	2064.27635	Phyllostomidae	0.0915492957746479	0.908450704225352	CytB	5	54	Chiroptera	342	CHIROPTERA	PHYLLOSTOMIDAE	LC	0	0
