Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d
Gazella dorcas	1.18338860620362	1.69453798037961	0.166666666666667	10	2	0.857142857142857	0.142857142857143	2190
Gazella gazella	1.09092547441861	0.911613569447055	0.037037037037037	5	1	0.964285714285714	0.0357142857142857	2190
Gazella subgutturosa	1.34806925438638	2.69949098800073	0.5	3	2	0.666666666666667	0.333333333333333	2496.146666657
Genetta genetta	0.994528528293187	1.58593676571788	0.048783712321523	39	2	0.953485576923077	0.0465144230769231	4194.899833343
Genetta maculata	0.764913797426187	0.42430060098944	0.129166666666667	8	1	0.882352941176471	0.117647058823529	2764.52
Gerbilliscus leucogaster	0.93174637699697	6.64605684746279	0.168079096045198	42	7	0.855072463768116	0.144927536231884	682.2908
Gerbillus gerbillus	1.37606862374925	0	0	13	0	1	0	951.2818
Gerbillus henleyi	0.773602495808489	2.82134774275222	0.189189189189189	48	4	0.840909090909091	0.159090909090909	951.2818
Gerbillus nancillus	0.42430060098944	0.42430060098944	0.0714285714285714	13	1	0.933333333333333	0.0666666666666667	951.2818
Gerbillus nanus	0.899043533106299	4.02047473341464	0.0833333333333333	57	4	0.923076923076923	0.0769230769230769	951.2818
Gerbillus pyramidum	1.14392539092373	1.14392539092373	0.1	3	1	0.909090909090909	0.0909090909090909	951.2818
Gerbillus tarabuli	0.42430060098944	0.42430060098944	0.0909090909090909	11	1	0.916666666666667	0.0833333333333333	951.2818
Giraffa camelopardalis	1.11008765727389	3.88343351184887	0.163978494623656	30	4	0.859126984126984	0.140873015873016	5251.01166657
Glaucomys sabrinus	0.785364055031303	0.42430060098944	0.0547945205479452	3	1	0.901234567901235	0.0987654320987654	1729.4573
Glirulus japonicus	0.805286206485595	2.12479488038239	0.0384615384615385	72	3	0.962962962962963	0.037037037037037	883.5172
Gorilla gorilla	1.17887687987337	0	0	2	0	1	0	8030
Gracilinanus agilis	1.12166566102434	7.44758026782917	0.181818181818182	35	6	0.846153846153846	0.153846153846154	642.840025
Graomys griseoflavus	0.430203568855827	0.84860120197888	0.142857142857143	12	2	0.875	0.125	589.388299099621
Gulo gulo	0.430256900002777	0.854557500992217	0.464285714285714	1	1	0.666666666666667	0.333333333333333	2622.30185
Handleyomys alfaroi	0.784112995956585	1.99252659290261	0.0741758241758242	30	2	0.928571428571429	0.0714285714285714	589.388299099621
Handleyomys chapmani	0.42430060098944	0.42430060098944	0.1	10	1	0.909090909090909	0.0909090909090909	589.388299099621
Handleyomys rostratus	0.434049995521833	0.87784938557606	0.0428571428571429	28	2	0.958904109589041	0.0410958904109589	589.388299099621
Hapalemur griseus	1.01571020704682	3.65399799865633	0.333333333333333	7	3	0.75	0.25	3285
Hemiechinus auritus	0.694255687776027	0.42430060098944	0.0303308823529412	31.5	1	0.970562770562771	0.0294372294372294	940.3939
Herpestes javanicus	1.021689548073	10.7533994823436	0.187990580847724	47	10	0.841768631813126	0.158231368186874	1472.701
Hipposideros armiger	0.854622376053466	1.99425885449539	0.272727272727273	10	3	0.785714285714286	0.214285714285714	1834.2256
Hipposideros caffer	0.640173829460664	2.56069531784266	0.0425531914893617	94	4	0.959183673469388	0.0408163265306122	1834.2256
Hipposideros pratti	0.784112995956585	0	0	22	0	1	0	1834.2256
Hipposideros ruber	0.496234662964744	1.84107052790837	0.0606060606060606	61	4	0.942857142857143	0.0571428571428571	1834.2256
Holochilus chacarius	0.42430060098944	0.281985815246086	0.1	6	1	0.909090909090909	0.0909090909090909	766.22453
Hydropotes inermis	0.430256900002777	0.430256900002777	0.0833333333333333	11	1	0.923076923076923	0.0769230769230769	2190
Hylaeamys megacephalus	1.44975174795375	1.27023737939017	0.0416666666666667	10	1	0.96	0.04	470.3622
Hylobates agilis	1.1320102542301	4.97967589032017	0.298148148148148	15	2	0.769230769230769	0.230769230769231	5475
Hylobates lar	1.23497159972383	2.02199184149869	0.272727272727273	4	2	0.75	0.25	5475
Hypsignathus monstrosus	1.14392539092373	1.14392539092373	0.111111111111111	7	1	0.9	0.1	2349.856740625
Indri indri	1.00579929233951	1.59769124050925	0.272727272727273	9	2	0.781746031746032	0.218253968253968	4015
Inia geoffrensis	0.858113210357812	1.7031587029711	0.25	4	2	0.75	0.25	4840.09
Jaculus jaculus	0.817416247167156	0	0	26.5	0	1	0	919.8561
Lagothrix lagotricha	0.42430060098944	0.21215030049472	0.0384615384615385	9	0.5	0.964285714285714	0.0357142857142857	5475
Lama guanicoe	0.973822662838978	2.4141627703139	0.25	8	2	0.8	0.2	4064.145
Laonastes aenigmamus	1.05987807765985	11.7221650883061	0.25	45	11	0.8	0.2	1032.92357373767
Lasiurus blossevillii	0.959467269121302	12.4730744985769	0.142857142857143	92	13	0.875	0.125	2051.66620769231
Lasiurus borealis	0.42430060098944	0.84860120197888	0.105263157894737	9	1	0.904761904761905	0.0952380952380952	2051.66620769231
Lemur catta	0.902247860236703	1.13851758879694	0.5	2	1	0.666666666666667	0.333333333333333	2920
Leopardus tigrinus	1.48129799500303	1.48129799500303	0.464285714285714	3	1	0.666666666666667	0.333333333333333	2190
Leopoldamys edwardsi	0.737544797887097	2.34910022187511	0.08	48	3	0.924919484702093	0.0750805152979066	639.631831820818
Lepilemur ankaranensis	1.19505508292289	2.46691230083276	0.384615384615385	3	1	0.705882352941177	0.294117647058824	1637.7709666715
Lepilemur dorsalis	1.34865890400218	6.58602846663	0.319148936170213	8	3	0.753424657534247	0.246575342465753	1637.7709666715
Lepilemur edwardsi	0.962763841284424	12.0269961380036	0.4	29	14	0.714285714285714	0.285714285714286	1637.7709666715
Lepilemur mustelinus	0.96475259960726	1.31830163130757	0.333333333333333	3	2	0.75	0.25	1750.9197
Lepilemur ruficaudatus	0.778948866298799	3.27138469488427	0.375	8.5	5	0.727272727272727	0.272727272727273	1637.7709666715
Leptonychotes weddellii	1.14392539092373	1.14392539092373	0.2	5	1	0.833333333333333	0.166666666666667	4015
Lepus brachyurus	1.27023737939017	0.42430060098944	0.1	7	1	0.909090909090909	0.0909090909090909	1047.27668
Lepus californicus	0.562424217117293	0.562424217117293	0.111111111111111	6	1	0.9	0.1	1226.50635
Lepus capensis	0.933142072193275	4.21575636967977	0.0898876404494382	75	5	0.917525773195876	0.0824742268041237	1047.27668
