Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d	category
Gulo gulo	22	43	0.464285714285714	1	1	0.666666666666667	0.333333333333333	2622.30185	LC
Handleyomys alfaroi	39.5	100	0.0741758241758242	30	2	0.928571428571429	0.0714285714285714	589.388299099621	LC
Handleyomys chapmani	21	21	0.1	10	1	0.909090909090909	0.0909090909090909	589.388299099621	VU
Handleyomys rostratus	21.6666666666667	44	0.0428571428571429	28	2	0.958904109589041	0.0410958904109589	589.388299099621	LC
Hapalemur griseus	51.4285714285714	184.5	0.333333333333333	7	3	0.75	0.25	3285	VU
Hemiechinus auritus	35.25	21	0.0303308823529412	31.5	1	0.970562770562771	0.0294372294372294	940.3939	LC
Herpestes javanicus	51.5714285714286	542	0.187990580847724	47	10	0.841768631813126	0.158231368186874	1472.701	LC
Hipposideros armiger	43.125	101	0.272727272727273	10	3	0.785714285714286	0.214285714285714	1834.2256	LC
Hipposideros caffer	32.25	129	0.0425531914893617	94	4	0.959183673469388	0.0408163265306122	1834.2256	LC
Hipposideros pratti	39.5	0	0	22	0	1	0	1834.2256	LC
Hipposideros ruber	25	92	0.0606060606060606	61	4	0.942857142857143	0.0571428571428571	1834.2256	LC
Holochilus chacarius	21	15	0.1	6	1	0.909090909090909	0.0909090909090909	766.22453	LC
Hydropotes inermis	22	22	0.0833333333333333	11	1	0.923076923076923	0.0769230769230769	2190	VU
Hylaeamys megacephalus	73.5	64	0.0416666666666667	10	1	0.96	0.04	470.3622	LC
Hylobates agilis	57.375	253	0.298148148148148	15	2	0.769230769230769	0.230769230769231	5475	EN
Hylobates lar	62.3333333333333	102	0.272727272727273	4	2	0.75	0.25	5475	EN
Hypsignathus monstrosus	58	58	0.111111111111111	7	1	0.9	0.1	2349.856740625	LC
Indri indri	51	81	0.272727272727273	9	2	0.781746031746032	0.218253968253968	4015	CR
Inia geoffrensis	44	85	0.25	4	2	0.75	0.25	4840.09	EN
Jaculus jaculus	41.3333333333333	0	0	26.5	0	1	0	919.8561	LC
Lama guanicoe	49.5	122	0.25	8	2	0.8	0.2	4064.145	LC
Laonastes aenigmamus	53.5833333333333	593	0.25	45	11	0.8	0.2	1032.92357373767	LC
Lasiurus blossevillii	48.4615384615385	630	0.142857142857143	92	13	0.875	0.125	2051.66620769231	LC
Lasiurus borealis	21	42	0.105263157894737	9	1	0.904761904761905	0.0952380952380952	2051.66620769231	LC
Lemur catta	45.6666666666667	58	0.5	2	1	0.666666666666667	0.333333333333333	2920	EN
Leopardus tigrinus	76	76	0.464285714285714	3	1	0.666666666666667	0.333333333333333	2190	VU
Leopoldamys edwardsi	37.4722222222222	119	0.08	48	3	0.924919484702093	0.0750805152979066	639.631831820818	LC
Lepilemur ankaranensis	60.6	125	0.384615384615385	3	1	0.705882352941177	0.294117647058824	1637.7709666715	EN
Lepilemur dorsalis	68.4285714285714	335	0.319148936170213	8	3	0.753424657534247	0.246575342465753	1637.7709666715	VU
Lepilemur edwardsi	48.7875	609	0.4	29	14	0.714285714285714	0.285714285714286	1637.7709666715	EN
Lepilemur mustelinus	48.9166666666667	67	0.333333333333333	3	2	0.75	0.25	1750.9197	NT
Lepilemur ruficaudatus	39.35	164	0.375	8.5	5	0.727272727272727	0.272727272727273	1637.7709666715	VU
Leptonychotes weddellii	58	58	0.2	5	1	0.833333333333333	0.166666666666667	4015	LC
Lepus brachyurus	64	21	0.1	7	1	0.909090909090909	0.0909090909090909	1047.27668	LC
Lepus californicus	28	28	0.111111111111111	6	1	0.9	0.1	1226.50635	LC
Lepus capensis	47.4107142857143	214	0.0898876404494382	75	5	0.917525773195876	0.0824742268041237	1047.27668	LC
Lepus europaeus	56.6666666666667	58	0.0833333333333333	16	1	0.92	0.08	730	LC
Lepus mandshuricus	34.3666666666666	179	0.111128048780488	80	7	0.898876404494382	0.101123595505618	1047.27668	LC
Lepus oiostolus	47.3333333333333	96	0.0889328063241107	26	2	0.916666666666667	0.0833333333333333	1047.27668	LC
Lepus sinensis	60.0416666666667	137	0.238095238095238	15	3	0.803571428571429	0.196428571428571	1047.27668	LC
Lepus timidus	44.25	115.5	0.125	11	2	0.887840670859539	0.112159329140461	1047.27668	LC
Lepus tolai	32	22	0.0714285714285714	7	1	0.933333333333333	0.0666666666666667	1047.27668	LC
Lepus yarkandensis	52.5	58	0.0952380952380952	10	1	0.911067193675889	0.0889328063241107	1047.27668	NT
Lontra longicaudis	59.5	79	1	1	1	0.5	0.5	3442.5583333285	NT
Lophostoma silvicolum	62.6666666666667	342	0.10077519379845	54	5	0.908450704225352	0.0915492957746479	2064.27635	LC
Loris tardigradus	61.8666666666666	194	0.5	3	2	0.666666666666667	0.333333333333333	2278.1475	EN
Loxodonta africana	66.0833333333333	489.5	0.260869565217391	28	8	0.793103448275862	0.206896551724138	9125	VU
Lutra lutra	81	64	0	9	1	0.923076923076923	0.0769230769230769	2772.962083343	NT
Lutrogale perspicillata	42	21	0.173913043478261	6	1	0.851851851851852	0.148148148148148	3650	VU
Lynx pardinus	83	0	0	3	0	1	0	1578.34	EN
Macaca fascicularis	55.3333333333333	250	0.3	15	5	0.769230769230769	0.230769230769231	5076.8362	LC
Macaca nemestrina	53.2526737967915	605	0.363636363636364	44	14	0.733333333333333	0.266666666666667	4015	VU
Marmosa robinsoni	50.8	508	0.104211405392508	126.5	10	0.905626223091976	0.0943737769080235	568.63755	LC
Marmosops noctivagus	39.75	92	0.038961038961039	67	2	0.9625	0.0375	642.840025	LC
Martes americana	61.4	251	0.230769230769231	23	4	0.806451612903226	0.193548387096774	2227.96	LC
Martes melampus	35.125	58	0.166666666666667	6	1	0.857142857142857	0.142857142857143	1772.805	LC
