Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	AdultBodyMass_g	GenerationLength_d	category
516	Hemiechinus auritus	35.25	21	0.0303308823529412	31.5	1	0.970562770562771	0.0294372294372294	322.04	940.3939	LC
517	Hemiphyllodactylus yunnanensis	50.972972972973	1645	0.336206896551724	107	34	0.748387096774194	0.251612903225806	NA	NA	NA
518	Henicorhina leucophrys	42.75	150	0.103962943901184	32	3	0.905405405405405	0.0945945945945946	NA	NA	LC
519	Henicorhina leucosticta	51.4	274.5	0.161290322580645	40	5	0.860243055555556	0.139756944444444	NA	NA	LC
520	Herpestes javanicus	51.5714285714286	542	0.187990580847724	47	10	0.841768631813126	0.158231368186874	750	1472.701	LC
521	Herzensteinia microcephalus	21	0	0	5	0	1	0	NA	NA	NA
522	Heterandria formosa	33.3333333333333	64	0.3875	7.5	3	0.720779220779221	0.279220779220779	NA	NA	NA
523	Heteronotia binoei	59.359477124183	300	0.321428571428571	38.5	6	0.751106194690266	0.248893805309735	NA	NA	NA
524	Heteropneustes fossilis	63.34375	588	0.426666666666667	56	10	0.700934579439252	0.299065420560748	NA	NA	NA
525	Hexagrammos otakii	21	0	0	2	0	1	0	NA	NA	NA
526	Hierophis gemonensis	21	15	0.0909090909090909	3	1	0.909090909090909	0.0909090909090909	NA	NA	NA
527	Hippocampus kuda	42.3333333333333	203	0.333333333333333	12	4	0.75	0.25	NA	NA	NA
528	Hipposideros armiger	43.125	101	0.272727272727273	10	3	0.785714285714286	0.214285714285714	49.99	1834.2256	LC
529	Hipposideros caffer	32.25	129	0.0425531914893617	94	4	0.959183673469388	0.0408163265306122	9.46	1834.2256	LC
530	Hipposideros pratti	39.5	0	0	22	0	1	0	21.81	1834.2256	LC
531	Hipposideros ruber	25	92	0.0606060606060606	61	4	0.942857142857143	0.0571428571428571	10.61	1834.2256	LC
532	Hirundo rustica	21	0	0	8	0	1	0	NA	NA	LC
533	Holochilus chacarius	21	15	0.1	6	1	0.909090909090909	0.0909090909090909	204	766.22453	LC
534	Homatula potanini	33.2	79	0.3125	6.5	2	0.760952380952381	0.239047619047619	NA	NA	NA
535	Hoplobatrachus rugulosus	33.8571428571429	311	0.148936170212766	51	8	0.87037037037037	0.12962962962963	NA	NA	LC
536	Hoplobatrachus tigerinus	40.7307692307693	58	0.144578313253012	6	1	0.873684210526316	0.126315789473684	NA	NA	LC
537	Huso huso	NA	0	0	2	0	1	0	NA	NA	CR
538	Hydropotes inermis	22	22	0.0833333333333333	11	1	0.923076923076923	0.0769230769230769	12760.04	2190	VU
539	Hyla meridionalis	83.5	145	0.333333333333333	3	1	0.75	0.25	NA	NA	LC
540	Hylaeamys megacephalus	73.5	64	0.0416666666666667	10	1	0.96	0.04	55	470.3622	LC
541	Hylobates agilis	57.375	253	0.298148148148148	15	2	0.769230769230769	0.230769230769231	5829.08	5475	EN
542	Hylobates lar	62.3333333333333	102	0.272727272727273	4	2	0.75	0.25	5578.61	5475	EN
543	Hylophilus ochraceiceps	51.3166666666666	516	0.1875	56	10	0.842105263157895	0.157894736842105	NA	NA	NA
544	Hynobius nebulosus	53.5	130	0.0476190476190476	79	3	0.954545454545455	0.0454545454545455	NA	NA	LC
545	Hynobius tokyoensis	48	81	0.109090909090909	11	2	0.901639344262295	0.0983606557377049	NA	NA	VU
546	Hypentelium nigricans	21	42	0.0645833333333333	14	1	0.939338235294118	0.0606617647058824	NA	NA	NA
547	Hypomesus olidus	21.2	0	0	6.5	0	1	0	NA	NA	NA
548	Hypostomus ancistroides	29	50	0.25	9	2	0.8	0.2	NA	NA	NA
549	Hypseleotris galii	41	109	0.142857142857143	21	3	0.875	0.125	NA	NA	NA
550	Hypseleotris klunzingeri	21.25	64	0.127717391304348	20	3	0.884615384615385	0.115384615384615	NA	NA	NA
551	Hypsignathus monstrosus	58	58	0.111111111111111	7	1	0.9	0.1	336.97	2349.856740625	LC
552	Ichthyophis bannanicus	46	193	0.388888888888889	11	4	0.692307692307692	0.307692307692308	NA	NA	LC
553	Icterus cayanensis	83	0	0	4.5	0	1	0	NA	NA	LC
554	Ictidomys parvidens	39.75	55	0.154761904761905	7	1	0.866071428571429	0.133928571428571	NA	NA	NA
555	Ictidomys tridecemlineatus	81	0	0	19	0	1	0	NA	NA	LC
556	Ictiobus bubalus	21	21	0.366666666666667	4	1	0.714285714285714	0.285714285714286	NA	NA	NA
557	Imantodes cenchoa	56.75	272	0.166666666666667	27	5	0.857142857142857	0.142857142857143	NA	NA	NA
558	Indotestudo forstenii	NA	0	0	1	0	1	0	NA	NA	NA
559	Indri indri	51	81	0.272727272727273	9	2	0.781746031746032	0.218253968253968	8565.48	4015	CR
560	Inia boliviensis	52.1666666666667	81	0.5	3	1	0.666666666666667	0.333333333333333	NA	NA	NA
561	Inia geoffrensis	44	85	0.25	4	2	0.75	0.25	121430.8	4840.09	EN
562	Iole propinqua	42.5	330	0.194029850746269	58	10	0.818181818181818	0.181818181818182	NA	NA	LC
563	Iridosornis analis	21	21	0.142857142857143	5	1	0.875	0.125	NA	NA	LC
564	Jaculus jaculus	41.3333333333333	0	0	26.5	0	1	0	59.8	919.8561	LC
565	Katsuwonus pelamis	21	0	0	12	0	1	0	NA	NA	LC
566	Kinyongia fischeri	55.6101694915254	3024	0.867647058823529	60	52	0.535433070866142	0.464566929133858	NA	NA	NT
567	Koreocobitis rotundicaudata	98	21	0.111111111111111	4	1	0.9	0.1	NA	NA	NA
568	Kryptolebias marmoratus	68.5	81	0.5	2	1	0.666666666666667	0.333333333333333	NA	NA	NA
569	Kuhlia rupestris	33.3333333333333	79	0.25	10	2	0.8	0.2	NA	NA	NA
570	Labeo calbasu	19.3333333333333	0	0	3	0	1	0	NA	NA	NA
571	Labeo gonius	21	0	0	7	0	1	0	NA	NA	NA
572	Labeo rohita	45.75	21	0.0769230769230769	2	1	0.928571428571429	0.0714285714285714	NA	NA	NA
573	Labeobarbus intermedius	30.25	63	0.375	8	3	0.727272727272727	0.272727272727273	NA	NA	NA
574	Lacerta bilineata	46	355	0.235294117647059	26	7	0.80952380952381	0.19047619047619	NA	NA	NA
575	Lacerta viridis_viridis	41.3863636363637	122	0.25	24	4	0.8	0.2	NA	NA	NA
576	Ladislavia taczanowskii	21.5	58	0.101020408163265	10	2	0.9	0.1	NA	NA	NA
577	Lagothrix lagotricha	21	10.5	0.0384615384615385	9	0.5	0.964285714285714	0.0357142857142857	6263.69	5475	NA
578	Lama guanicoe	49.5	122	0.25	8	2	0.8	0.2	120000	4064.145	LC
579	Lampetra aepyptera	21	57	0.266666666666667	11	2	0.785714285714286	0.214285714285714	NA	NA	NA
580	Lampetra fluviatilis	60	0	0	1	0	1	0	NA	NA	NA
581	Lampetra planeri	90.5	45	0.0263157894736842	3.5	1	0.947368421052632	0.0526315789473684	NA	NA	NA
582	Lampetra sp	39.5	58	0.0909090909090909	11	1	0.916666666666667	0.0833333333333333	NA	NA	NA
583	Lampetra tridentata	NA	0	0	2	0	1	0	NA	NA	NA
584	Lampris guttatus	40.125	319	0.0697674418604651	108	7	0.934782608695652	0.0652173913043478	NA	NA	NA
585	Lamprologus tigripictilis	60	0	0	6	0	1	0	NA	NA	NA
586	Lampropeltis alterna	80.6	279	0.163359788359788	17.5	3	0.846117424242424	0.153882575757576	NA	NA	NA
587	Lampropeltis getula	31.8	123	0.107142857142857	31	4	0.903225806451613	0.0967741935483871	NA	NA	NA
588	Lampropeltis triangulum	54.8333333333333	575	0.193548387096774	60	11	0.837837837837838	0.162162162162162	NA	NA	NA
589	Lanius collaris	40.4	202	0.13953488372093	42	5	0.877551020408163	0.122448979591837	NA	NA	LC
590	Laonastes aenigmamus	53.5833333333333	593	0.25	45	11	0.8	0.2	400	1032.92357373767	LC
591	Larimichthys crocea	43	79	0.366666666666667	5	2	0.714285714285714	0.285714285714286	NA	NA	NA
592	Larimichthys polyactis	21	21	0.0909090909090909	6	1	0.916666666666667	0.0833333333333333	NA	NA	NA
593	Larus argentatus	58	22	0.133928571428571	4	1	0.875	0.125	NA	NA	LC
594	Larus canus	142	81	0.25	2	1	0.8	0.2	NA	NA	LC
595	Larus dominicanus	58	65.5	0.25	3	1	0.775	0.225	NA	NA	LC
596	Larus novaehollandiae	58	53	0.111111111111111	4	1	0.894444444444444	0.105555555555556	NA	NA	LC
597	Lasiurus blossevillii	48.4615384615385	630	0.142857142857143	92	13	0.875	0.125	15.8485714285714	2051.66620769231	LC
598	Lasiurus borealis	21	42	0.105263157894737	9	1	0.904761904761905	0.0952380952380952	12.33	2051.66620769231	LC
599	Lateolabrax japonicus	26.5	146	0.0869565217391304	10	3	0.92	0.08	NA	NA	NA
600	Leiolepis reevesii	64	64	0.142857142857143	13	2	0.875	0.125	NA	NA	NA
601	Lemur catta	45.6666666666667	58	0.5	2	1	0.666666666666667	0.333333333333333	2626.48	2920	EN
602	Leopardus tigrinus	76	76	0.464285714285714	3	1	0.666666666666667	0.333333333333333	2250	2190	VU
603	Leopoldamys edwardsi	37.4722222222222	119	0.08	48	3	0.924919484702093	0.0750805152979066	308.82	639.631831820818	LC
604	Lepidonotothen larseni	122	0	0	3	0	1	0	NA	NA	NA
605	Lepidonotothen squamifrons	73.8	308	1.25	3	4	0.444444444444444	0.555555555555556	NA	NA	NA
606	Lepidophyma flavimaculatum	45.1342592592593	344	0.307193396226415	34	11	0.761061946902655	0.238938053097345	NA	NA	NA
607	Lepilemur ankaranensis	60.6	125	0.384615384615385	3	1	0.705882352941177	0.294117647058824	750	1637.7709666715	EN
608	Lepilemur dorsalis	68.4285714285714	335	0.319148936170213	8	3	0.753424657534247	0.246575342465753	503.85	1637.7709666715	VU
609	Lepilemur edwardsi	48.7875	609	0.4	29	14	0.714285714285714	0.285714285714286	821.58	1637.7709666715	EN
610	Lepilemur mustelinus	48.9166666666667	67	0.333333333333333	3	2	0.75	0.25	669.03	1750.9197	NT
611	Lepilemur ruficaudatus	39.35	164	0.375	8.5	5	0.727272727272727	0.272727272727273	763.36	1637.7709666715	VU
612	Leptodeira annulata	61.2222222222222	640	0.183854718981972	75.5	14	0.844698760994987	0.155301239005013	NA	NA	NA
613	Leptodeira septentrionalis	51.8083333333334	378	0.128315346625206	55	6	0.885057471264368	0.114942528735632	NA	NA	NA
614	Leptonychotes weddellii	58	58	0.2	5	1	0.833333333333333	0.166666666666667	4e+05	4015	LC
615	Lepus brachyurus	64	21	0.1	7	1	0.909090909090909	0.0909090909090909	2519.45	1047.27668	LC
616	Lepus californicus	28	28	0.111111111111111	6	1	0.9	0.1	2422.48	1226.50635	LC
617	Lepus capensis	47.4107142857143	214	0.0898876404494382	75	5	0.917525773195876	0.0824742268041237	2047.11	1047.27668	LC
618	Lepus europaeus	56.6666666666667	58	0.0833333333333333	16	1	0.92	0.08	3816.43	730	LC
619	Lepus mandshuricus	34.3666666666666	179	0.111128048780488	80	7	0.898876404494382	0.101123595505618	1834.05	1047.27668	LC
620	Lepus oiostolus	47.3333333333333	96	0.0889328063241107	26	2	0.916666666666667	0.0833333333333333	2468.55	1047.27668	LC
621	Lepus sinensis	60.0416666666667	137	0.238095238095238	15	3	0.803571428571429	0.196428571428571	1607.41	1047.27668	LC
622	Lepus timidus	44.25	115.5	0.125	11	2	0.887840670859539	0.112159329140461	3105.42	1047.27668	LC
623	Lepus tolai	32	22	0.0714285714285714	7	1	0.933333333333333	0.0666666666666667	1589	1047.27668	LC
624	Lepus yarkandensis	52.5	58	0.0952380952380952	10	1	0.911067193675889	0.0889328063241107	1460.41	1047.27668	NT
625	Lethenteron camtschaticum	52.2166666666667	195	0.132996632996633	3	2	0.88	0.12	NA	NA	NA
626	Lethrinus olivaceus	121	0	0	21	0	1	0	NA	NA	NA
627	Leucosticte arctoa	58	58	0.5	2	1	0.666666666666667	0.333333333333333	NA	NA	LC
628	Leucosticte brandti	50	81	1	2	2	0.5	0.5	NA	NA	LC
629	Leucosticte tephrocotis	21	21	0.333333333333333	2	1	0.75	0.25	NA	NA	LC
630	Lissemys punctata	57.125	91.5	0.0634615384615385	39	1.5	0.928571428571429	0.0714285714285714	NA	NA	NA
631	Lissotriton italicus	58.0876623376624	659	0.333333333333333	38	11	0.75	0.25	NA	NA	LC
632	Lissotriton vulgaris	52.1190476190476	252	0.193548387096774	32	5	0.837286265857695	0.162713734142306	NA	NA	LC
633	Locustella certhiola	21	36	0.272727272727273	2	1	0.785714285714286	0.214285714285714	NA	NA	LC
634	Locustella ochotensis	78	83	0.666666666666667	2	1	0.6	0.4	NA	NA	LC
635	Lontra longicaudis	59.5	79	1	1	1	0.5	0.5	6554.97	3442.5583333285	NT
636	Lophius piscatorius	54.5	79	0.5	3	1	0.666666666666667	0.333333333333333	NA	NA	NA
637	Lophognathus gilberti	59.0666666666667	2501	0.544303797468354	78	45	0.647540983606557	0.352459016393443	NA	NA	NA
638	Lophostoma silvicolum	62.6666666666667	342	0.10077519379845	54	5	0.908450704225352	0.0915492957746479	32.29	2064.27635	LC
639	Lophura nycthemera	21	21	0.1	7	1	0.909090909090909	0.0909090909090909	NA	NA	LC
640	Loris tardigradus	61.8666666666666	194	0.5	3	2	0.666666666666667	0.333333333333333	249.22	2278.1475	EN
641	Loxigilla violacea	58	58	0.1	3	1	0.909090909090909	0.0909090909090909	NA	NA	NA
642	Loxodonta africana	66.0833333333333	489.5	0.260869565217391	28	8	0.793103448275862	0.206896551724138	3824540	9125	VU
643	Loxodonta cyclotis	66.1688311688312	289	0.223611111111111	19	4	0.817254174397032	0.182745825602968	NA	NA	NA
644	Luscinia cyanura	62.2857142857143	0	0	3.5	0	1	0	NA	NA	NA
645	Luscinia rufilata	21	21	0.222222222222222	3	1	0.818181818181818	0.181818181818182	NA	NA	NA
646	Lutjanus argentimaculatus	56	43	0.25	2	1	0.75	0.25	NA	NA	NA
647	Lutra lutra	81	64	0	9	1	0.923076923076923	0.0769230769230769	8868.69	2772.962083343	NT
648	Lutrogale perspicillata	42	21	0.173913043478261	6	1	0.851851851851852	0.148148148148148	8912.49	3650	VU
649	Lynx pardinus	83	0	0	3	0	1	0	11050	1578.34	EN
650	Macaca fascicularis	55.3333333333333	250	0.3	15	5	0.769230769230769	0.230769230769231	4569.32	5076.8362	LC
651	Macaca nemestrina	53.2526737967915	605	0.363636363636364	44	14	0.733333333333333	0.266666666666667	7820.78	4015	VU
652	Malaclemys terrapin	52	0	0	2	0	1	0	NA	NA	NA
653	Malurus leucopterus	15	0	0	2	0	1	0	NA	NA	LC
654	Mammuthus primigenius	51.3333333333333	0	0	11	0	1	0	NA	NA	NA
655	Mammuthus sp	52	0	0	8	0	1	0	NA	NA	NA
656	Mantidactylus femoralis	59.5862068965517	1573	0.300970873786408	87	27	0.767241379310345	0.232758620689655	NA	NA	LC
657	Mantidactylus majori	57.2333333333333	703	0.432432432432432	33	13	0.696428571428571	0.303571428571429	NA	NA	LC
658	Marmosa robinsoni	50.8	508	0.104211405392508	126.5	10	0.905626223091976	0.0943737769080235	60.57	568.63755	LC
659	Marmosops caucae	51.95	262	0.0728172499116296	61	5	0.931818181818182	0.0681818181818182	NA	NA	LC
660	Marmosops noctivagus	39.75	92	0.038961038961039	67	2	0.9625	0.0375	39.77	642.840025	LC
661	Martes americana	61.4	251	0.230769230769231	23	4	0.806451612903226	0.193548387096774	873.69	2227.96	LC
662	Martes melampus	35.125	58	0.166666666666667	6	1	0.857142857142857	0.142857142857143	1000	1772.805	LC
663	Martes zibellina	46	46	0.2	5	1	0.833333333333333	0.166666666666667	1173.91	2087.381433343	LC
664	Mastacembelus brichardi	58	0	0	4	0	1	0	NA	NA	NA
665	Mastacembelus congicus	32.7272727272727	123	0.142857142857143	43	3	0.875	0.125	NA	NA	NA
666	Mastomys sp	77.75	58	0.25	5	1	0.8	0.2	NA	NA	NA
667	Mauremys caspica	39.5	50	0.174242424242424	9.5	1	0.846153846153846	0.153846153846154	NA	NA	NA
668	Mauremys japonica	75	450	0.15	40	6	0.851063829787234	0.148936170212766	NA	NA	NA
669	Mauremys mutica	72.6666666666667	210.5	0.125	21.5	3	0.888888888888889	0.111111111111111	NA	NA	NA
670	Mauremys reevesii	155	0	0	4	0	1	0	NA	NA	NA
671	Mauremys rivulata	84.6666666666667	0	0	2	0	1	0	NA	NA	NA
672	Megaloglossus woermanni	61.6666666666667	127	0.236111111111111	9	2	0.8	0.2	16.71	1553.79087272727	LC
673	Melanogrammus aeglefinus	41.5	32	0.125	3	1	0.857142857142857	0.142857142857143	NA	NA	NA
674	Melanosuchus niger	39.3333333333333	43	0.5	3	1	0.666666666666667	0.333333333333333	NA	NA	LR/cd
675	Melanotaenia goldiei	39.5	79	0.0967741935483871	21	2	0.911764705882353	0.0882352941176471	NA	NA	NA
676	Melanotaenia splendida	51.3333333333333	46	0.225	2	1	0.8	0.2	NA	NA	NA
677	Meles meles	49.3125	446	0.225352112676056	45	8	0.816091954022989	0.183908045977011	11884.03	2161.2481	LC
678	Meriones libycus	57	170	0.552777777777778	9	3	0.642857142857143	0.357142857142857	91.33	649.48035	LC
679	Meriones meridianus	40.9513888888889	295	0.09	88	7	0.917431192660551	0.0825688073394495	62.1	608.148016666667	LC
680	Meriones tamariscinus	58	81	0.0555555555555556	27	1	0.947368421052632	0.0526315789473684	120	608.148016666667	LC
681	Merlangius merlangus	95.25	21	0.0557275541795666	8	1	0.947222222222222	0.0527777777777778	NA	NA	NA
682	Mesoplodon densirostris	50.6	21	0.0215078630897317	11	1	0.972972972972973	0.027027027027027	2299999.99	6460.5	DD
683	Mesoplodon europaeus	51.5	81	0.2	4	1	0.816666666666667	0.183333333333333	5600000.02	6460.5	DD
684	Metallura tyrianthina	51.3333333333333	104	0.2	15	2	0.833333333333333	0.166666666666667	NA	NA	LC
685	Microcebus griseorufus	45	58	0.25	5	1	0.8	0.2	70.24	2053.5145	LC
686	Microcebus lehilahytsara	51.5	21	0.0588235294117647	13	1	0.944444444444444	0.0555555555555556	54.22	2053.5145	VU
687	Microcebus mittermeieri	106.5	155	0.11437908496732	13	1	0.894736842105263	0.105263157894737	54.22	2053.5145	EN
688	Microcebus murinus	54.8	113	0.131578947368421	10	2	0.88047619047619	0.11952380952381	69	2053.5145	LC
689	Microcebus myoxinus	60.75	81	0.25	6	1	0.8	0.2	31.23	2053.5145	VU
690	Microcebus rufus	57	152	0.117647058823529	19	2	0.894736842105263	0.105263157894737	48.39	2053.5145	VU
691	Microcebus simmonsi	22	0	0	3	0	1	0	54.22	2053.5145	EN
692	Microcerculus marginatus	35.6666666666667	64	0.0425724637681159	25	1	0.958333333333333	0.0416666666666667	NA	NA	LC
693	Micromesistius poutassou	57.5	94	0.0769230769230769	6	1	0.928571428571429	0.0714285714285714	NA	NA	NA
694	Micromys minutus	22.5	64	0.230769230769231	11	2	0.8	0.2	6.99	502.66	LC
695	Micronycteris megalotis	50.375	174	0.087719298245614	47	4	0.919354838709677	0.0806451612903226	6.4	2064.27635	LC
696	Microphysogobio alticorpus	21	21	0.0909090909090909	13	1	0.916666666666667	0.0833333333333333	NA	NA	NA
697	Microphysogobio brevirostris	21	21	0.0444664031620553	5	1	0.956521739130435	0.0434782608695652	NA	NA	NA
698	Micropteropus pusillus	46.8333333333333	104	0.0545454545454545	15	1	0.948275862068966	0.0517241379310345	25.38	1553.79087272727	LC
699	Micropterus coosae	42.4	242	0.141048824593128	24	5	0.875	0.125	NA	NA	NA
700	Micropterus dolomieu	58	79	0.4	2	2	0.666666666666667	0.333333333333333	NA	NA	NA
701	Micropterus floridanus	58	58	0.25	5	1	0.8	0.2	NA	NA	NA
702	Micropterus henshalli	48.9375	120	0.120261437908497	6	2	0.892708333333333	0.107291666666667	NA	NA	NA
703	Micropterus punctulatus	77.1666666666667	160	0.0689655172413793	18.5	2	0.935483870967742	0.0645161290322581	NA	NA	NA
704	Micropterus salmoides	39.5	114	0.6	5	3	0.6	0.4	NA	NA	NA
705	Microtus agrestis	33.1388888888889	157	0.140625	37	5	0.876712328767123	0.123287671232877	35.87	465.9675	LC
706	Microtus arvalis	63.75	58	0.0333333333333333	26	1	0.967741935483871	0.032258064516129	26.9	447.605	LC
707	Microtus limnophilus	44.25	177	0.285714285714286	13	4	0.777777777777778	0.222222222222222	50	373.623802083937	LC
708	Microtus longicaudus	21	36	0.0784615384615385	19	1	0.925925925925926	0.0740740740740741	44.8	373.623802083937	LC
709	Microtus lusitanicus	21	63	0.111111111111111	35	3	0.9	0.1	28.3293191236729	373.623802083937	LC
710	Microtus miurus	21	21	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333	41	373.623802083937	LC
711	Microtus obscurus	58	58	0.0666666666666667	6	1	0.9375	0.0625	NA	NA	NA
712	Microtus subterraneus	49.3333333333333	100	0.05	41	2	0.952380952380952	0.0476190476190476	17.74	373.623802083937	LC
713	Miniopterus schreibersii	53.3	291	0.216718713856118	24	7	0.819028797289667	0.180971202710333	11.46	1995.6986	NT
714	Mionectes oleagineus	57.7777777777778	81	0.0666666666666667	27	1	0.9375	0.0625	NA	NA	LC
715	Misgurnus anguillicaudatus	47.0238095238095	124	0.131386861313869	23	3	0.883870967741936	0.116129032258065	NA	NA	NA
716	Misgurnus nikolskyi	36.6	58	0.123475609756098	4	1	0.890096618357488	0.109903381642512	NA	NA	NA
717	Mogera imaizumii	27.75	21	0.0303030303030303	32	1	0.970588235294118	0.0294117647058824	65.53	759.185721428571	LC
718	Mogera robusta	51	21	0.142857142857143	3	1	0.857142857142857	0.142857142857143	72	759.185721428571	LC
719	Mogera wogura	45.6666666666667	193	0.102040816326531	48	4	0.907407407407407	0.0925925925925926	96.88	759.185721428571	LC
720	Mogurnda adspersa	44.5	64	0.333333333333333	3	1	0.75	0.25	NA	NA	NA
721	Monodelphis americana	32.3333333333333	149.5	0.0740740740740741	56.5	4	0.931034482758621	0.0689655172413793	19.5	717.0425	LC
722	Monodelphis arlindoi	69.5	81	0.0769230769230769	12	1	0.928571428571429	0.0714285714285714	NA	NA	NA
723	Monodelphis domestica	49	187	0.113636363636364	40	4	0.897959183673469	0.102040816326531	93.45	717.0425	LC
724	Monodelphis glirina	48.6477272727273	302	0.120879120879121	57	7	0.892156862745098	0.107843137254902	69.62576822	717.0425	LC
725	Monodelphis touan	81	102	0.0833333333333333	16	2	0.923076923076923	0.0769230769230769	NA	NA	NA
726	Monopterus albus	28.75	100	0.108108108108108	33	3	0.902439024390244	0.0975609756097561	NA	NA	NA
727	Montivipera xanthina	31.0666666666667	295.5	0.288461538461538	35.5	9.5	0.776119402985075	0.223880597014925	NA	NA	NA
728	Morelia spilota	53.5625	328	0.123076923076923	50	6	0.89041095890411	0.10958904109589	NA	NA	NA
729	Motacilla alba	58	58	0.30952380952381	2	1	0.75	0.25	NA	NA	LC
730	Motacilla flava	43.3333333333333	57	0.0491803278688525	50	1	0.953125	0.046875	NA	NA	LC
731	Moxostoma austrinum	21	63	0.0653622693096377	32	3	0.938271604938272	0.0617283950617284	NA	NA	NA
732	Moxostoma congestum	31.7777777777778	79	0.0784313725490196	25	2	0.927272727272727	0.0727272727272727	NA	NA	NA
733	Moxostoma erythrurum	89.75	46	0.2	5	1	0.833333333333333	0.166666666666667	NA	NA	NA
734	Mugil cephalus	35.5	79	0.0392156862745098	52	2	0.962264150943396	0.0377358490566038	NA	NA	NA
735	Mulloidichthys dentatus	22	0	0	4	0	1	0	NA	NA	NA
736	Mulloidichthys flavolineatus	21	0	0	5	0	1	0	NA	NA	NA
737	Mulloidichthys martinicus	37	21	0.333333333333333	2	1	0.75	0.25	NA	NA	NA
738	Mulloidichthys vanicolensis	125	0	0	2	0	1	0	NA	NA	NA
739	Mungotictis decemlineata	34	43	0.181818181818182	6	1	0.84412955465587	0.15587044534413	657.03	2146.94685	EN
740	Muntiacus sp	46	46	0.0645161290322581	17	1	0.939393939393939	0.0606060606060606	NA	NA	NA
741	Mus caroli	43	79	0.0606060606060606	25	2	0.942857142857143	0.0571428571428571	14.26	628.295	LC
742	Mus minutoides	30.9666666666667	180	0.11864406779661	51	6	0.893939393939394	0.106060606060606	6.43	435.665	LC
743	Mus musculus	51	79	0.136363636363636	13	2	0.875	0.125	19.3	628.295	LC
744	Mus musculus_castaneus	24	45	0.0666666666666667	14	1	0.9375	0.0625	NA	NA	NA
745	Mus musculus_domesticus	68.9333333333334	58	0.333333333333333	5	2	0.75	0.25	NA	NA	NA
746	Mus musculus_molossinus	21.25	42	0.0967741935483871	3	1	0.909090909090909	0.0909090909090909	NA	NA	NA
747	Mus musculus_musculus	54.6666666666667	58.5	0.25	4	1	0.777777777777778	0.222222222222222	NA	NA	NA
748	Muscicapa striata	41.3333333333333	124	0.138888888888889	29	4	0.878048780487805	0.121951219512195	NA	NA	LC
749	Mustela erminea	58	58	0.166666666666667	4	1	0.857142857142857	0.142857142857143	284.5	1078.777858343	LC
750	Mustela frenata	39.5	99	0.230769230769231	11	2	0.8125	0.1875	190.03	986.110483343	LC
751	Mustela nivalis	33.5	64	0.111111111111111	9	2	0.897368421052632	0.102631578947368	78.45	1194.19395	LC
752	Mustela sibirica	48.8	92.5	0.214285714285714	8	2	0.811764705882353	0.188235294117647	530.85	1484.792222219	LC
753	Myiarchus swainsoni	72.5	0	0	3	0	1	0	NA	NA	LC
754	Myioborus miniatus	55	116	0.0857142857142857	14	2	0.921052631578947	0.0789473684210526	NA	NA	LC
755	Myodes glareolus	51	80	0.11451048951049	10	1	0.894736842105263	0.105263157894737	20.73	577.7512	LC
756	Myodes rufocanus	22	0	0	11	0	1	0	36.43	433.359922223833	LC
757	Myodes rutilus	142	81	0.0303030303030303	26	1	0.970588235294118	0.0294117647058824	19.94	433.359922223833	LC
758	Myonycteris torquata	21	0	0	8	0	1	0	44.92	1553.79087272727	LC
759	Myotis albescens	34.5454545454545	184	0.142857142857143	24	5	0.868534482758621	0.131465517241379	5.69	2106.62850416667	LC
760	Myotis aurascens	49.2833333333333	365	0.126666666666667	51	8	0.887573964497041	0.112426035502959	9.59716981132076	2106.62850416667	LC
761	Myotis brandtii	77.5	96	0.5	3	1	0.666666666666667	0.333333333333333	5.3	2106.62850416667	LC
762	Myotis davidii	51	67	0.133333333333333	12	2	0.882352941176471	0.117647058823529	9.59716981132076	2106.62850416667	LC
763	Myotis ikonnikovi	44.7142857142857	58	0.04	22	1	0.961538461538462	0.0384615384615385	9.59716981132076	2106.62850416667	LC
764	Myotis lucifugus	21	42	0.0833333333333333	16.5	1	0.923076923076923	0.0769230769230769	7.8	4117.2	EN
765	Myotis macrodactylus	22	21	0.0416666666666667	6	1	0.923076923076923	0.0769230769230769	7.48	2106.62850416667	LC
766	Myotis myotis	24	36	0.1	25	1	0.909090909090909	0.0909090909090909	25.59	2847	LC
767	Myotis mystacinus	41.5	21	0.122699386503067	5	1	0.890410136311776	0.109589863688224	9.59716981132076	2864.16	LC
768	Myotis nattereri	55.0952380952381	829	0.209876543209877	75	13	0.824742268041237	0.175257731958763	7.25	2106.62850416667	LC
769	Myotis sp	52.6842105263158	795	0.12	125	16	0.892857142857143	0.107142857142857	NA	NA	NA
770	Myotis velifer	34.5	67	0.107142857142857	16	2	0.903225806451613	0.0967741935483871	9.82	1579.5955	LC
771	Myripristis berndti	NA	0	0	6	0	1	0	NA	NA	NA
772	Mystacina tuberculata	66.8333333333333	153	0.25	12	3	0.8	0.2	13.14	1888.06537051282	VU
773	Myxocyprinus asiaticus	27	21	0.0811688311688312	5	1	0.925	0.075	NA	NA	NA
774	Naja atra	58.75	129	0.195121951219512	5	2	0.836734693877551	0.163265306122449	NA	NA	NA
775	Nannoperca australis	47	139	0.224489795918367	11	3	0.814187068424357	0.185812931575643	NA	NA	NA
