Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	AdultBodyMass_g	GenerationLength_d	category
105	Arremon aurantiirostris	50.3636363636364	533	0.164179104477612	65	10	0.858974358974359	0.141025641025641	NA	NA	LC
106	Artamus personatus	39.5	79	0.4	6	2	0.714285714285714	0.285714285714286	NA	NA	LC
107	Artamus superciliosus	39.5	58	0.142857142857143	7	1	0.875	0.125	NA	NA	LC
108	Artibeus cinereus	39	60	0.25	6	2	0.8	0.2	12.7	1920.4777	NA
109	Artibeus fimbriatus	21	15	0.0344827586206897	17	1	0.966666666666667	0.0333333333333333	63.89	1920.4777	LC
110	Artibeus glaucus	27.25	123	0.0428571428571429	85	3	0.958904109589041	0.0410958904109589	12.31	1920.4777	NA
111	Artibeus intermedius	45	45	0.0714285714285714	13	1	0.933333333333333	0.0666666666666667	NA	NA	NA
112	Artibeus jamaicensis	33.5	65	0.04	32	1	0.961538461538462	0.0384615384615385	43.63	1920.4777	LC
113	Artibeus lituratus	46	0	0	18	0	1	0	59.3	1920.4777	LC
114	Artibeus obscurus	39.5	67	0.0512820512820513	26	1	0.951219512195122	0.0487804878048781	35.91	1920.4777	LC
115	Artibeus phaeotis	58	58	0.142857142857143	4	1	0.875	0.125	11.69	1920.4777	NA
116	Artibeus planirostris	51	81	0.0555555555555556	20	1	0.947368421052632	0.0526315789473684	29.8628571428571	1920.4777	LC
117	Aspidomorphus lineaticollis	51.8636363636364	1141	0.254787406686141	79	22	0.796949082663368	0.203050917336632	NA	NA	NA
118	Astyanax aeneus	41	79	0.333333333333333	9	2	0.75	0.25	NA	NA	NA
119	Ateles belzebuth	50.5	116	0.26969696969697	8.5	3	0.787593984962406	0.212406015037594	6692.42	5475	EN
120	Atherinomorus endrachtensis	22	21	0.0769230769230769	2	1	0.916666666666667	0.0833333333333333	NA	NA	NA
121	Automolus rubiginosus	21.3333333333333	53.5	0.118055555555556	20	2.5	0.894444444444444	0.105555555555556	NA	NA	NA
122	Auxis rochei	83.6666666666667	0	0	13	0	1	0	NA	NA	LC
123	Auxis thazard	21	0	0	5	0	1	0	NA	NA	LC
124	Avahi laniger	59.3333333333333	178	0.324324324324324	9.5	3	0.752551020408163	0.247448979591837	1092.28	3649.771875	VU
125	Balaena mysticetus	22	22	0.333333333333333	3	1	0.75	0.25	79691178.99	18980	LC
126	Balaenoptera physalus	56.6	21	0.117647058823529	4	1	0.878676470588235	0.121323529411765	47506008.23	9490	VU
127	Bambusicola thoracicus	58	63	0.12	25	2	0.892857142857143	0.107142857142857	NA	NA	LC
128	Bandicota indica	34	22	0.00735294117647059	28	1	0.992700729927007	0.0072992700729927	583.09	639.631831820818	LC
129	Barbatula barbatula	34.5714285714286	159	0.0895522388059701	66	6	0.917808219178082	0.0821917808219178	NA	NA	NA
130	Barbatula vardarensis	62	196.5	0.263157894736842	16	3	0.791666666666667	0.208333333333333	NA	NA	NA
131	Barbus barbus	58	58	0.5	2	1	0.666666666666667	0.333333333333333	NA	NA	NA
132	Barbus plebejus	15	15	0	1	1	0.666666666666667	0.333333333333333	NA	NA	NA
133	Barbus rebeli	21	105	0.119047619047619	41	5	0.893617021276596	0.106382978723404	NA	NA	NA
134	Barisia imbricata	40.7	334	0.220867208672087	42	9	0.818181818181818	0.181818181818182	NA	NA	NA
135	Basileuterus tristriatus	56.75	81	0.0571428571428571	35	2	0.945945945945946	0.0540540540540541	NA	NA	LC
136	Bathygobius geminatus	19.3333333333333	0	0	8	0	1	0	NA	NA	NA
137	Bathygobius soporator	33.5	21	0.0714285714285714	14	1	0.933333333333333	0.0666666666666667	NA	NA	NA
138	Bison bison	67	81	0.5	2	1	0.6	0.4	624577.1	4288.14166657	NT
139	Bison bonasus	58.6	42	0.0666666666666667	14	1	0.936491935483871	0.063508064516129	675876.7	3595.3298	VU
140	Bison priscus	58	0	0	4	0	1	0	NA	NA	NA
141	Biwia zezera	26.5	21	0.0307765151515152	28	1	0.96969696969697	0.0303030303030303	NA	NA	NA
142	Blarina brevicauda	39.5	84	0.142857142857143	16	2	0.875	0.125	18.56	307.41875	LC
143	Blarinella griselda	21.75	21	0.0172413793103448	54	1	0.983050847457627	0.0169491525423729	8	426.91011944525	LC
144	Boa constrictor	38.6666666666667	150	0.2	7	3	0.833333333333333	0.166666666666667	NA	NA	NA
145	Boleophthalmus pectinirostris	60.25	99	0.181818181818182	7	1	0.846153846153846	0.153846153846154	NA	NA	NA
146	Bombina bombina	39.5	21	0.142857142857143	6	1	0.875	0.125	NA	NA	LC
147	Bombina maxima	55.2	105	0.19375	8	2	0.837719298245614	0.162280701754386	NA	NA	NA
148	Bombina variegata	27.2	78	0.0740740740740741	75	4	0.931034482758621	0.0689655172413793	NA	NA	LC
149	Boops boops	19	0	0	6	0	1	0	NA	NA	LC
150	Bos frontalis	40.0576923076923	331.5	0.188405797101449	67	8	0.83641975308642	0.16358024691358	NA	NA	NA
151	Bos grunniens	48.5	42	0.25	3	1	0.8	0.2	NA	NA	NA
152	Bos indicus	25.375	84	0.296703296703297	10	3	0.764705882352941	0.235294117647059	NA	NA	NA
153	Bos taurus	42.1	21	0.142857142857143	2	1	0.833333333333333	0.166666666666667	NA	NA	NA
154	Brachyhypopomus occidentalis	46.6	218	0.307692307692308	14	4	0.757352941176471	0.242647058823529	NA	NA	NA
155	Brachymeles bonitae	46.5723981900452	448	0.166666666666667	65.5	11	0.854497354497354	0.145502645502645	NA	NA	NA
156	Brachymeles boulengeri	33.3333333333333	298	0.100724637681159	88	8	0.907894736842105	0.0921052631578947	NA	NA	NA
157	Brachymeles gracilis	39.5	358	0.111111111111111	75	9	0.9	0.1	NA	NA	NA
158	Brachymeles schadenbergi	51.4444444444444	143.5	0.219512195121951	13	3	0.82	0.18	NA	NA	NA
159	Brachymystax lenok	42.75	79	0.075	39	2	0.928571428571429	0.0714285714285714	NA	NA	NA
160	Brachyphylla cavernarum	42.5	64	1	1	1	0.5	0.5	45.5	2064.27635	LC
161	Branchiostoma belcheri	32	37	0.25	6.5	2	0.8	0.2	NA	NA	NA
162	Branchiostoma floridae	41	21	0.0769230769230769	11	1	0.928571428571429	0.0714285714285714	NA	NA	NA
163	Branchiostoma lanceolatum	40.6176470588236	36	0.179775280898876	7	1	0.844339622641509	0.155660377358491	NA	NA	NA
164	Brienomyrus sp	43.6666666666667	174	0.106060606060606	25	3	0.904109589041096	0.0958904109589041	NA	NA	NA
165	Bronchocela cristatella	50.3333333333333	302	0.206896551724138	25	6	0.828571428571429	0.171428571428571	NA	NA	NA
166	Brotogeris cyanoptera	38.875	21	0.291666666666667	4	1	0.775	0.225	NA	NA	LC
167	Bubalus bubalis	40.9	21	0.0769230769230769	5	1	0.925925925925926	0.0740740740740741	NA	NA	NA
168	Buergeria buergeri	48.7368421052632	870	0.253012048192771	72	19	0.798076923076923	0.201923076923077	NA	NA	LC
169	Bungarus candidus	81	81	0.0454545454545455	19	1	0.956521739130435	0.0434782608695652	NA	NA	NA
170	Cacajao calvus	68	74	0.179487179487179	24	1	0.838709677419355	0.161290322580645	3421.04	3650	VU
171	Caiman crocodilus	62.9083333333333	119.5	0.636363636363636	2	2	0.596749226006192	0.403250773993808	NA	NA	LC
172	Calliope calliope	22	22	0.291666666666667	3	1	0.75	0.25	NA	NA	LC
173	Callisaurus draconoides	41.3333333333333	195	0.173913043478261	34	6	0.851851851851852	0.148148148148148	NA	NA	NA
174	Callosciurus erythraeus	46.7424242424242	400	0.126984126984127	82	9	0.887323943661972	0.112676056338028	283.23	1585.1964	LC
175	Calomys callosus	41.3666666666666	112	0.240384615384615	4	2	0.80625	0.19375	44.95	589.388299099621	LC
176	Calomys expulsus	21	22	0.125	14	1	0.888888888888889	0.111111111111111	39.86	589.388299099621	LC
177	Calotes versicolor	39.5	58	0.333333333333333	11	2	0.75	0.25	NA	NA	NA
178	Camelus bactrianus	71.75	155	0.333333333333333	3	2	0.75	0.25	NA	NA	NA
179	Camelus dromedarius	86.5	95	0.25	2	1	0.8	0.2	NA	NA	NA
180	Campethera caroli	58	58	0.117647058823529	2	1	0.894736842105263	0.105263157894737	NA	NA	LC
181	Campethera nivosa	33.6666666666667	0	0	4	0	1	0	NA	NA	LC
182	Campostoma anomalum	34.8375	157.5	0.0666666666666667	95	6	0.9375	0.0625	NA	NA	NA
183	Campostoma oligolepis	33.3333333333333	135	0.0666666666666667	27	4	0.9375	0.0625	NA	NA	NA
184	Campostoma ornatum	35.3333333333333	105	0.107142857142857	28	3	0.903225806451613	0.0967741935483871	NA	NA	NA
185	Campylomormyrus compressirostris	44.6666666666667	81	0.285714285714286	6	1	0.75	0.25	NA	NA	NA
186	Campylomormyrus numenius	52.6666666666667	158	0.348484848484849	9	3	0.733333333333333	0.266666666666667	NA	NA	NA
187	Candidia barbatus	33.9160839160839	350	0.144578313253012	82	10	0.873684210526316	0.126315789473684	NA	NA	NA
188	Canis aureus	33.3333333333333	64	0.133333333333333	16	2	0.882352941176471	0.117647058823529	9658.7	2136.101433343	LC
189	Canis latrans	53	0	0	3	0	1	0	11989.1	2569.032222103	LC
190	Canis lupus	21	0	0	4	0	1	0	31756.51	2883.256666657	LC
191	Canis lupus_familiaris	51.5	0	0	3	0	1	0	NA	NA	NA
192	Capra aegagrus	58	137	0.0983870967741935	30	2	0.909090909090909	0.0909090909090909	71350.77625	2097.005	VU
193	Capra hircus	51.75	0	0	3	0	1	0	NA	NA	NA
194	Capra sibirica	50	29	0.00649350649350649	49.5	0.5	0.993589743589744	0.00641025641025641	130000	2875.226666657	LC
195	Capreolus capreolus	50	99	0.109126984126984	14	2	0.9	0.1	22502.01	2335.391666657	LC
196	Capreolus pygargus	81	81	0.105555555555556	9	1	0.9	0.1	41371.03	3063.8029	LC
197	Carasobarbus fritschii	22.8333333333333	21	0.16025641025641	6	1	0.861904761904762	0.138095238095238	NA	NA	NA
198	Carassius auratus	41.6904761904762	58	0.0926654740608229	14	1	0.91010101010101	0.0898989898989899	NA	NA	NA
199	Carassius auratus_auratus	48	142.5	0.166666666666667	15	2	0.857142857142857	0.142857142857143	NA	NA	NA
200	Carassius gibelio	46	56	0.146428571428571	12	1	0.864864864864865	0.135135135135135	NA	NA	NA
201	Carcharhinus obscurus	36	46.5	0.333333333333333	5.5	1	0.75	0.25	NA	NA	EN
202	Cardinalis cardinalis	54.4	216	0.158947368421053	19	4	0.862852664576802	0.137147335423197	NA	NA	LC
203	Carollia brevicauda	55.8333333333333	153	0.181818181818182	18	3	0.846153846153846	0.153846153846154	NA	NA	LC
204	Carollia castanea	44.2916666666667	168	0.0833333333333333	69	4	0.923076923076923	0.0769230769230769	13.1	1847.5352	LC
205	Carollia perspicillata	33.3333333333333	100	0.2	18	3	0.833333333333333	0.166666666666667	19.23	1847.5352	LC
206	Carollia sowelli	42.3333333333333	173	0.233333333333333	23	5	0.8	0.2	15.755	1847.5352	LC
207	Carpiodes carpio	21	21	0.133333333333333	9	1	0.882352941176471	0.117647058823529	NA	NA	NA
208	Carpiodes cyprinus	21	21	0.1	9	1	0.909090909090909	0.0909090909090909	NA	NA	NA
209	Carpodacus erythrinus	21	0	0	6	0	1	0	NA	NA	LC
210	Catharus frantzii	21	21	0.105555555555556	7	1	0.9	0.1	NA	NA	LC
